,avghotelcost,avghoteltime,avghrwage,counthotelcities,drivedist,drivetime,drivetimehrs,gascost,gasprice,hotelnights,minabcost,minhotelcost,numtrips,state,totaldrivetime,totaltime,wageloss
0,0.0,0.0,30.8529411765,0.0,102.190785619,232.37244898,3.8728741497,18.8310541705,2.156,0.0,650.0,0.0,2.0,AK,7.74574829935,7.74574829935,238.979116647
1,0.0,0.0,24.8235294118,0.0,60.0158829679,66.7619047619,1.1126984127,9.8579060103,1.592,0.0,440.0,0.0,2.32098765432,AL,2.66772486772,2.66772486772,66.2223467166
2,0.244032871972,0.083044982699,23.2058823529,1.0,91.4105822835,96.3166089965,1.60527681661,24.3200739005,1.648,0.00346020761246,575.0,0.145294117647,3.82352941176,AR,6.07704728951,6.1600922722,142.950376552
3,4.13678888889,1.24444444444,27.2058823529,14.0,71.3201924197,78.3074074074,1.30512345679,14.237730518,1.547,0.0518518518519,440.0,2.52918518519,3.60740740741,AZ,4.01851851852,5.26296296296,143.183551198
4,0.0,0.0,35.4705882353,0.0,29.1594514532,37.624425476,0.627577150361,6.1443832853,2.454,0.0,512.0,0.0,2.00131319764,CA,1.25791201576,1.25791201576,44.6188791472
5,0.0,0.0,31.5,0.0,97.5416231421,107.064903846,1.7844150641,15.112124425,1.794,0.0,515.0,0.0,2.00961538462,CO,3.60440705128,3.60440705128,113.538822115
6,0.0,0.0,40.6470588235,0.0,18.6346516757,27.1178707224,0.45196451204,2.9656172154,1.862,0.0,732.0,0.0,2.0,CT,0.903929024082,0.903929024082,36.7420562141
7,0.0,0.0,51.7647058824,0.0,3.56369213729,12.9166666667,0.215277777779,0.684145403587,1.9,0.0,470.0,0.0,2.16666666667,DC,0.468055555554,0.468055555554,24.2287581699
8,0.0,0.0,32.5,0.0,22.7212981896,30.7924528302,0.51320754717,3.30332719834,1.701,0.0,470.0,0.0,2.0,DE,1.02641509434,1.02641509434,33.358490566
9,0.463788973738,0.0290556900726,26.0294117647,3.0,22.6053724151,30.9140435835,0.515234059726,6.75591609967,1.84,0.00363196125908,495.0,0.364987893462,3.90556900726,FL,1.96916868442,1.9982243745,52.012605042
10,0.0,0.0,29.0882352941,0.0,55.7418666231,62.9701257862,1.04950209643,9.94738475656,1.731,0.0,400.0,0.0,2.29245283019,GA,2.55225366876,2.55225366876,74.2405552472
11,0.0,0.0,25.9117647059,0.0,13.9559771257,26.7375,0.450833333347,3.06687106141,2.536,0.0,845.0,0.0,2.0,HI,0.891249999986,0.891249999986,23.0938602941
12,0.0,0.0,24.9117647059,0.0,74.4673720439,78.0184182015,1.30030697002,14.1668222022,1.938,0.0,700.0,0.0,2.21668472373,IA,2.98010111954,2.98010111954,74.2395778897
13,0.0,0.0,21.6470588235,0.0,85.0288405624,102.094262295,1.70867486339,14.0482651173,1.842,0.0,650.0,0.0,2.06557377049,ID,3.54385245902,3.54385245902,76.7139826421
14,0.0,0.0,33.2941176471,0.0,54.7886803638,61.0225806452,1.01704301075,12.1098061709,1.882,0.0,400.0,0.0,2.4935483871,IL,2.74876344086,2.74876344086,91.5176533841
15,0.0,0.0,25.2058823529,0.0,53.8031941324,60.4608567208,1.00768094535,14.5519572013,1.795,0.0,500.0,0.0,3.64844903988,IN,3.55800098474,3.55800098474,89.6825542328
16,0.0,0.0,25.0294117647,0.0,158.452265084,150.951790634,2.51586317723,23.903269049,1.765,0.0,700.0,0.0,2.0,KS,5.03172635445,5.03172635445,125.941150813
17,0.277346419924,0.0871670702179,24.1764705882,2.0,82.104349306,92.6065375303,1.54344229217,23.5663560942,1.78,0.00363196125908,600.0,0.177687651332,3.81355932203,KY,5.8488700565,5.93603712671,143.512427004
18,0.655658848614,0.153518123667,26.0,4.0,87.6633976097,88.6417910448,1.47736318408,23.8542377301,1.602,0.00852878464819,475.0,0.407164179104,3.98720682303,LA,5.87043354655,6.02395167022,156.622743426
19,0.0,0.0,39.4411764706,0.0,23.9464480344,35.0991561181,0.584985935302,3.58378038532,1.751,0.0,650.0,0.0,2.0,MA,1.16997187061,1.16997187061,46.1450670142
20,0.374255344418,0.0,32.7058823529,3.0,29.5229966432,39.4275534442,0.65827395091,4.63897676812,1.782,0.00712589073634,375.0,0.285035629454,2.04750593824,MD,1.35352335709,1.35352335709,44.2681756788
21,0.0,0.0,23.3529411765,0.0,51.4261676175,63.1432038835,1.05238673139,7.9952306749,1.819,0.0,550.0,0.0,2.0,ME,2.10477346279,2.10477346279,49.1526508662
22,3.56439155251,0.931506849315,28.5,34.0,74.994887513,78.9783105023,1.31630517504,12.3482378658,1.891,0.0388127853881,485.0,1.92084474886,2.07305936073,MI,2.68767123288,3.61917808219,103.146575342
23,0.0,0.0,31.7058823529,0.0,78.0731718218,82.5168918919,1.37528153153,14.523719982,1.9,0.0,906.0,0.0,2.23423423423,MN,3.12042042042,3.12042042042,98.9356827414
24,0.2397945,0.072,25.9411764706,1.0,103.541503524,105.958,1.76596666667,19.8500177712,1.674,0.003,545.0,0.13497,2.554,MO,4.7659,4.8379,125.500817647
25,0.0,0.0,20.8529411765,0.0,79.1374562245,82.91184573,1.3818640955,19.8469203338,1.592,0.0,530.0,0.0,3.73553719008,MS,5.08622589532,5.08622589532,106.062769405
26,0.0,0.0,22.0588235294,0.0,218.569014733,218.847619048,3.64746031746,33.2150177944,1.778,0.0,664.0,0.0,2.0,MT,7.29492063492,7.29492063492,160.917366947
